CUST_ID,ENT_ACCT_NUM,ENT_SEG_TYP,ENT_DTE,ENT_TME,ENT_SRC,ENT_AMT_TYP,ENT_AMT,ODR_LMT,ANT_LMT,UNP_BUFF,EB_BUFFER,OD_BUFFER,LB_LIMIT,RUN_LDG_XAU,Alert
604114130,55736586,FD,14001,0,SOI,4,-10,-3000,-1000,0,0,0,100,110,
604114130,55736586,FD,14001,006300000,SOI,4,-50,-3000,-1000,0,0,0,100,60,LB
604114130,55736586,FD,14001,007400000,SOI,3,-900,-3000,-1000,0,0,0,100,-840,OD1
604114130,55736586,FD,14001,011150000,SOI,4,-500,-3000,-1000,0,0,0,100,-1340,OD2
604114130,55736586,FD,14001,012300000,SOI,3,-1000,-3000,-1000,0,0,0,100,-2340,OD3
604114130,55736586,FD,14001,013350000,SOI,3,-1000,-3000,-1000,0,0,0,100,-3340,EB2
604114130,55736586,VV,14001,014300000,SOI,3,-100,-3000,-1000,0,0,0,100,-3440,
604114130,55736586,VV,14001,014350000,SOI,3,-100,-3000,-1000,0,0,0,100,-3540,
604114130,55736586,VV,14001,014500000,SOI,3,-100,-3000,-1000,0,0,0,100,-3640,
604114130,55736586,VV,14001,014550000,SOI,3,-50,-3000,-1000,0,0,0,100,-3690,
604114130,55736586,VV,14001,016300000,SOI,3,-50,-3000,-1000,0,0,0,100,-3740,
604114130,55736586,VV,14001,016450000,SOI,3,-25,-3000,-1000,0,0,0,100,-3765,
604114130,55736586,VV,14001,023300000,SOI,3,-10,-3000,-1000,0,0,0,100,-3775,
604114130,55736586,VV,14001,023310000,SOI,3,-5,-3000,-1000,0,0,0,100,-3780,
604114130,55736586,VV,14001,023320000,SOI,4,-2,-3000,-1000,0,0,0,100,-3782,
