CUST_ID,ENT_ACCT_NUM,ENT_SEG_TYP,ENT_DTE,ENT_TME,ENT_SRC,ENT_AMT_TYP,ENT_AMT,ODR_LMT,ANT_LMT,UNP_BUFF,EB_BUFFER,OD_BUFFER,LB_LIMIT,RUN_LDG_XAU,Alert
810138187,13351747,FD,14001,000000000,SOI,4,10,-10,0,0,0,0,100,100,
810138187,13351747,FD,14001,006300000,SOI,3,110,-10,0,0,0,0,100,-10,LB
810138187,13351747,FD,14001,007400000,SOI,3,10,-10,0,0,0,0,100,-20,OD1
810138187,13351747,FD,14001,011150000,SOI,4,50,-10,0,0,0,0,100,30,
810138187,13351747,FD,14001,014300000,SOI,3,1031,-10,0,0,0,0,100,-1001,OD2
810138187,13351747,FD,14001,016300000,SOI,3,500,-10,0,0,0,0,100,-1501,
810138187,13351747,FD,14001,017300000,SOI,3,500,-10,0,0,0,0,100,-2001,OD3
810138187,13351747,FD,14001,017310000,SOI,3,700,-10,0,0,0,0,100,-2701,NOD
810138187,13351747,FD,14001,019000000,SOI,4,200,-10,0,0,0,0,100,-2501,
810138187,13351747,FD,14001,021000000,SOI,3,100,-10,0,0,0,0,100,-2601,
810138187,13351747,FD,14001,022000000,SOI,3,100,-10,0,0,0,0,100,-2701,
810138187,13351747,FD,14001,023300000,SOI,4,2801,-10,0,0,0,0,100,100,
